Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_389.jpg;0;0;0;2.285447;106.5481;94.77897;359.4617;73.1622;359.9447
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_456.jpg;0;0;0;2.277273;106.5871;94.90961;359.4557;73.17215;359.8946
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_521.jpg;0;0;0;2.26621;106.6262;95.03998;359.4619;73.1795;359.8568
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_589.jpg;0;0;0;2.258154;106.6783;95.2131;359.4769;73.18187;359.8154
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_655.jpg;0;0;0;2.250428;106.7171;95.34264;359.4992;73.18755;359.8051
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_722.jpg;0;0;0;2.239744;106.756;95.4717;359.5225;73.18915;359.7988
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_789.jpg;0;0;0;2.232123;106.8077;95.64298;359.5474;73.18946;359.7966
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_855.jpg;0;0;0;2.224391;106.8462;95.77111;359.5747;73.19398;359.8132
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_922.jpg;0;0;0;2.214158;106.8847;95.89866;359.5959;73.19462;359.8285
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_17_989.jpg;0;0;0;2.206661;106.9357;96.06789;359.6154;73.19471;359.8518
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_056.jpg;0;0;0;2.199194;106.9739;96.19421;359.6236;73.19469;359.8708
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_122.jpg;0;0;0;2.189279;107.0119;96.32001;359.6268;73.19467;359.8908
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_189.jpg;0;0;0;2.181648;107.0622;96.48721;359.6376;73.19839;359.9305
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_256.jpg;0;0;0;2.174259;107.0999;96.61197;359.6393;73.19862;359.9565
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_321.jpg;0;0;0;2.164453;107.1375;96.73624;359.6366;73.19862;359.9809
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_388.jpg;0;0;0;2.157122;107.1873;96.90118;359.627;73.19861;0.01051476
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_456.jpg;0;0;0;2.149693;107.2248;97.0245;359.6294;73.19415;0.01711476
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_522.jpg;0;0;0;2.139798;107.2619;97.14735;359.6272;73.19357;0.0265258
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_18_590.jpg;0;0;0;2.132439;107.3114;97.31056;359.6305;73.18958;0.02557972
